ID,Title,Year,Budget,Gross Income
304,My Cousin Vinny,1992,11000000,64088552
305,Newsies,1992,15000000,2819485
306,Night and the City,1992,20000000,6202756
307,Noises Off...,1992,12000000,2280148
308,The Opposite Sex and How to Live with Them,1992,3000000,690966
309,Passenger 57,1992,15000000,44065653
310,Passion Fish,1992,3330000,4814619
311,Patriot Games,1992,45000000,178051587
312,The People Under the Stairs,1991,6000000,31347154
313,Pet Sematary II,1992,8000000,17092453
314,Peter's Friends,1992,5000000,4058564
315,The Player,1992,8000000,21706101
316,Poison Ivy,1992,3000000,1829804
317,The Public Eye,1992,15000000,3067917
318,Radio Flyer,1992,35000000,4651977
319,Raising Cain,1992,12000000,37170057
320,Rapid Fire,1992,10000000,14356479
321,Red Rock West,1993,8000000,2502551
322,Reservoir Dogs,1992,1200000,2859750
323,Rich in Love,1992,18000000,2149866
324,A River Runs Through It,1992,12000000,43440294
325,Scent of a Woman,1992,31000000,134095253
326,School Ties,1992,18000000,14715067
327,Shadows and Fog,1991,14000000,2735731
328,Seong lung wui,1992,10000000,8359717
329,Simple Men,1992,3000000,143010
330,Single White Female,1992,16000000,48017402
331,Sister Act,1992,31000000,231605150
332,Sleepwalkers,1992,15000000,30524763
333,Sneakers,1992,35000000,105232691
334,South Central,1992,4000000,1373196
335,Split Second,1992,7000000,5430822
336,Stay Tuned,1992,25000000,10736401
337,Stop! Or My Mom Will Shoot,1992,45000000,70611210
338,A Stranger Among Us,1992,18000000,12282994
339,Strictly Ballroom,1992,3000000,11738022
340,The Taking of Beverly Hills,1991,19000000,939277
341,Thunderheart,1992,15000000,22660758
342,Tom and Jerry: The Movie,1992,8000000,3560469
343,Toys,1992,43000000,23278931
344,Trespass,1992,14000000,13249535
345,Tui shou,1991,400000,152322
346,Twin Peaks: Fire Walk with Me,1992,10000000,4183547
347,Under Siege,1992,35000000,156563139
348,Under Suspicion,1991,6000000,221295
349,Unforgiven,1992,14400000,159157447
350,Universal Soldier,1992,23000000,36299898
351,Used People,1992,16000000,17957265
352,The Vagrant,1992,9500000,5900
353,The Waterdance,1992,2700000,1723319
354,Waterland,1992,10000000,1100218
355,Wayne's World,1992,20000000,183097323
356,Where the Day Takes You,1992,3000000,390152
357,Whispers in the Dark,1992,18000000,11124511
358,Wind,1992,29000000,5519569
359,Addams Family Values,1993,47000000,48919043
360,The Adventures of Huck Finn,1993,6500000,24103594
361,The Age of Innocence,1993,34000000,32255440
362,Airborne,1993,2600000,2850263
363,Alive,1993,32000000,36733909
364,Amongst Friends,1993,1000000,265000
365,Arizona Dream,1993,19000000,112547
366,Army of Darkness,1992,11000000,11502976
367,Aspen Extreme,1993,14000000,8041049
368,Ba wang bie ji,1993,4000000,5216888
369,Bank Robber,1993,2000000,115842
370,Batman: Mask of the Phantasm,1993,6000000,5635204
371,Beethoven's 2nd,1993,15000000,118243066
372,Being Human,1994,40000000,1519366
373,Best of the Best II,1993,7000000,6608687
374,"Bodies, Rest & Motion",1993,2500000,764724
375,Body Snatchers,1993,13000000,428868
376,Body of Evidence,1992,30000000,13273595
377,Boiling Point,1993,9000000,10058318
378,Bopha!,1993,12000000,212483
379,Bound by Honor,1993,35000000,4496583
380,A Bronx Tale,1993,22000000,17287898
381,Calendar Girl,1993,13000000,2570550
382,Carlito's Way,1993,30000000,63851527
383,Carnosaur,1993,850000,1753979
384,Children of the Corn II: The Final Sacrifice,1992,900000,6980986
385,"Clean, Shaven",1993,68000,26351
386,Cliffhanger,1993,70000000,255000211
387,Cool Runnings,1993,14000000,154856263
388,Cop & Â½,1993,14000000,40689691
389,The Crush,1993,6000000,13609396
390,Snake Eyes,1993,10000000,1261210
391,The Dark Half,1993,15000000,10611160
392,Dave,1993,28000000,63270710
393,Dazed and Confused,1993,6900000,7993039
394,Deadfall,1993,10000000,18369
395,Demolition Man,1993,57000000,58055768
396,Double Dragon,1994,7850000,2341309
397,Dragon: The Bruce Lee Story,1993,14000000,63513743
398,Ernest Rides Again,1993,7000000,1450029
399,Even Cowgirls Get the Blues,1993,8000000,1708873
400,Falling Down,1993,25000000,40903593
401,Fear of a Black Hat,1993,999999,233824
402,Fire in the Sky,1993,15000000,19885552
403,The Firm,1993,42000000,270248367
404,For Love or Money,1993,30000000,11146270
405,Fortress,1992,8000000,6739141
406,Free Willy,1993,20000000,153698625
407,The Fugitive,1993,44000000,368875760
408,Geronimo: An American Legend,1993,35000000,18635620
409,Gettysburg,1993,25000000,10769960
410,Ghost in the Machine,1993,12000000,5086909
411,The Good Son,1993,17000000,60613008
412,Groundhog Day,1993,14600000,70906973
413,Guilty as Sin,1993,12000000,22866222
414,Hard Target,1993,18000000,74189677
415,Sugar Hill,1993,10000000,18225518
416,Heart and Souls,1993,25000000,16589540
417,Heaven & Earth,1993,33000000,5864949
418,Hocus Pocus,1993,28000000,39514713
419,A Home of Our Own,1993,12000000,1677807
420,Hot Shots! Part Deux,1993,25000000,133752825
421,The House of the Spirits,1993,40000000,6265311
422,Xi yan,1993,1000000,6933459
423,In the Line of Fire,1993,40000000,176997168
424,In the Name of the Father,1993,13000000,65796862
425,"In weiter Ferne, so nah!",1993,10500000,810455
426,Indecent Proposal,1993,38000000,266614059
