title,gross_income,budget,year
Very Bad Things,9898412.0,30000000,1998
Psycho,37141130.0,60000000,1998
Star Trek: Insurrection,118000000.0,70000000,1998
The Prince of Egypt,218613188.0,70000000,1998
Rushmore,17096053.0,9000000,1998
Shakespeare in Love,289317794.0,25000000,1998
Rocky V,119946358.0,42000000,1990
You've Got Mail,250821495.0,65000000,1998
The Thin Red Line,98126565.0,52000000,1998
The Faculty,40283321.0,15000000,1998
Patch Adams,202292902.0,50000000,1998
A Civil Action,56702901.0,70000000,1998
Tea with Mussolini,21001563.0,12000000,1999
Affliction,6330054.0,6000000,1997
Playing by Heart,3970078.0,20000000,1998
Virus,14010690.0,75000000,1999
Texas Chainsaw Massacre: The Next Generation,185898.0,600000,1994
She's All That,103166989.0,10000000,1999
"Blood, Guts, Bullets and Octane",13674.0,7300,1998
Payback,161626121.0,90000000,1999
Simply Irresistible,4398989.0,6000000,1999
Blast from the Past,40263020.0,35000000,1999
Message in a Bottle,118880016.0,80000000,1999
My Favorite Martian,36850101.0,65000000,1999
Jawbreaker,3076820.0,3000000,1999
Office Space,12827813.0,10000000,1999
200 Cigarettes,6852450.0,6000000,1999
8MM,96618699.0,40000000,1999
Pet Sematary II,17092453.0,8000000,1992
Children of the Corn II: The Final Sacrifice,6980986.0,900000,1993
Analyze This,176885658.0,80000000,1999
The Corruptor,15156200.0,25000000,1999
Cruel Intentions,75902208.0,10500000,1999
"Lock, Stock and Two Smoking Barrels",3897569.0,1350000,1998
The Deep End of the Ocean,28121100.0,38000000,1999
The Rage: Carrie 2,17762705.0,21000000,1999
Baby Geniuses,36450736.0,12000000,1999
Forces of Nature,93888180.0,75000000,1999
The King and I,12000000.0,25000000,1999
The Mod Squad,13260050.0,50000000,1999
The Matrix,463517383.0,63000000,1999
10 Things I Hate About You,53478166.0,16000000,1999
The Out-of-Towners,29000000.0,75000000,1999
Following,48482.0,6000,1998
Go,28451622.0,6500000,1999
Never Been Kissed,84565230.0,25000000,1999
Twin Dragons,8359717.0,10000000,1992
Cookie's Fortune,10920544.0,10000000,1999
Life,73345029.0,80000000,1999
Open Your Eyes,368234.0,2900000,1997
eXistenZ,2856712.0,15000000,1999
Entrapment,212404396.0,66000000,1999
Idle Hands,4152230.0,25000000,1999
Dick Tracy,103738726.0,47000000,1990
The Mummy,415885488.0,80000000,1999
The Castle,861789.0,786675,1997
Edge of Seventeen,870751.0,1500000,1998
Star Wars: Episode I - The Phantom Menace,924317558.0,115000000,1999
Notting Hill,363889678.0,42000000,1999
The Thirteenth Floor,18564088.0,16000000,1999
Limbo,1997807.0,8000000,1999
Austin Powers: The Spy Who Shagged Me,310940086.0,33000000,1999
The Red Violin,9495408.0,18000000,1998
Tarzan,448000000.0,150000000,1999
The General's Daughter,149705852.0,60000000,1999
An Ideal Husband,18535191.0,14000000,1999
Run Lola Run,7267585.0,1530000,1998
Big Daddy,234801895.0,34200000,1999
The Dinner Game,78599508.0,12500000,1998
Arachnophobia,53208180.0,31000000,1990
Wild Wild West,222104681.0,170000000,1999
American Pie,235483004.0,11000000,1999
Muppets from Space,16290976.0,24000000,1999
The Blair Witch Project,248000000.0,60000,1999
Eyes Wide Shut,162091208.0,65000000,1999
Lake Placid,56870414.0,27000000,1999
The Wood,25059640.0,6000000,1999
Drop Dead Gorgeous,10571408.0,10000000,1999
The Haunting,91188905.0,80000000,1999
Trick,2049595.0,450000,1999
Deep Blue Sea,73648228.0,60000000,1999
